dataset,seed,model,sampler,steps,nfe,sliced_w2,wall_s
8gaussians,1,2-rectified,heun,1,2,0.17385438084602356,0.01307091600028798
8gaussians,1,2-rectified,heun,2,4,0.1735362559556961,0.026754542006528936
8gaussians,1,2-rectified,heun,4,8,0.17349566519260406,0.0539666670083534
8gaussians,1,2-rectified,heun,8,16,0.17515157163143158,0.10775208300037775
8gaussians,1,2-rectified,heun,16,32,0.17793452739715576,0.2155311250098748
8gaussians,1,2-rectified,heun,32,64,0.1796797513961792,0.43189087499922607
8gaussians,1,2-rectified,heun,64,128,0.17948350310325623,0.8578355829959037
8gaussians,1,2-rectified,rk4,1,4,0.1740560531616211,0.026099249997059815
8gaussians,1,2-rectified,rk4,2,8,0.17379164695739746,0.05405837499711197
8gaussians,1,2-rectified,rk4,4,16,0.1760237067937851,0.10932366699853446
8gaussians,1,2-rectified,rk4,8,32,0.17918692529201508,0.21631116699427366
8gaussians,1,2-rectified,rk4,16,64,0.18039563298225403,0.42783687500923406
8gaussians,1,2-rectified,rk4,32,128,0.17946024239063263,0.8611861250101356
8gaussians,1,diffusion-vp,euler,1,1,1.8036673069000244,0.00673754200397525
8gaussians,1,diffusion-vp,euler,2,2,0.32120218873023987,0.013290292001329362
8gaussians,1,diffusion-vp,euler,4,4,0.1834716498851776,0.027290999991237186
8gaussians,1,diffusion-vp,euler,8,8,0.16829591989517212,0.05302733299322426
8gaussians,1,diffusion-vp,euler,16,16,0.17069724202156067,0.107102791997022
8gaussians,1,diffusion-vp,euler,32,32,0.1717292070388794,0.2131203749886481
8gaussians,1,diffusion-vp,euler,64,64,0.17296534776687622,0.43282050000561867
8gaussians,1,diffusion-vp,euler,128,128,0.17341309785842896,0.8791455000027781
8gaussians,1,diffusion-vp,heun,1,2,1.6510673761367798,0.013893333001760766
8gaussians,1,diffusion-vp,heun,2,4,0.2991272211074829,0.0263788750016829
8gaussians,1,diffusion-vp,heun,4,8,0.17660315334796906,0.053219374996842816
8gaussians,1,diffusion-vp,heun,8,16,0.16905184090137482,0.10723824999877252
8gaussians,1,diffusion-vp,heun,16,32,0.17415916919708252,0.21557095799653325
8gaussians,1,diffusion-vp,heun,32,64,0.17408351600170135,0.4365260409977054
8gaussians,1,diffusion-vp,heun,64,128,0.1744960993528366,0.9661147919978248
8gaussians,1,diffusion-vp,rk4,1,4,0.17761118710041046,0.025979792000725865
8gaussians,1,diffusion-vp,rk4,2,8,0.16848309338092804,0.053129375010030344
8gaussians,1,diffusion-vp,rk4,4,16,0.17572680115699768,0.106348583009094
8gaussians,1,diffusion-vp,rk4,8,32,0.17673030495643616,0.21749337499204557
8gaussians,1,diffusion-vp,rk4,16,64,0.17424264550209045,0.4272800410108175
8gaussians,1,diffusion-vp,rk4,32,128,0.17465431988239288,0.8639845840079943
8gaussians,2,1-rectified,euler,1,1,2.6055266857147217,0.008846709009958431
8gaussians,2,1-rectified,euler,2,2,0.602001965045929,0.015450291990418918
8gaussians,2,1-rectified,euler,4,4,0.25062161684036255,0.03057187500235159
8gaussians,2,1-rectified,euler,8,8,0.15444250404834747,0.053568834002362564
8gaussians,2,1-rectified,euler,16,16,0.1249057948589325,0.105662542002392
8gaussians,2,1-rectified,euler,32,32,0.11124598979949951,0.21067395899444818
8gaussians,2,1-rectified,euler,64,64,0.1084233745932579,0.4261171249963809
8gaussians,2,1-rectified,euler,128,128,0.10829272866249084,0.8476900420064339
8gaussians,2,1-rectified,heun,1,2,2.0323331356048584,0.012944250003783964
8gaussians,2,1-rectified,heun,2,4,0.22921471297740936,0.026412624996737577
8gaussians,2,1-rectified,heun,4,8,0.12174428999423981,0.053442082993569784
8gaussians,2,1-rectified,heun,8,16,0.11156760156154633,0.10670512499928009
8gaussians,2,1-rectified,heun,16,32,0.11510206013917923,0.2805653329996858
8gaussians,2,1-rectified,heun,32,64,0.1097257062792778,0.5135669169976609
8gaussians,2,1-rectified,heun,64,128,0.10842641443014145,0.8663090409972938
8gaussians,2,1-rectified,rk4,1,4,0.3070181608200073,0.02689716700115241
8gaussians,2,1-rectified,rk4,2,8,0.12247565388679504,0.054678832995705307
8gaussians,2,1-rectified,rk4,4,16,0.11016561090946198,0.1066670420113951
8gaussians,2,1-rectified,rk4,8,32,0.11653705686330795,0.21824974998889957
8gaussians,2,1-rectified,rk4,16,64,0.10787990689277649,0.42631770799926016
8gaussians,2,1-rectified,rk4,32,128,0.10806170105934143,0.8527266250021057
